jahr,region,bundesland_code,icd_code,icd_bezeichnung,sterbefaelle,sterbefaelle_je_100k,sterbefaelle_je_100k_altersstand
2021,Bayern,DE-BY,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,3678,28.0,30.3
2021,Bayern,DE-BY,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Bayern,DE-BY,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",198,1.5,1.4
2021,Bayern,DE-BY,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",346,2.6,2.6
2021,Bayern,DE-BY,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",2731,20.8,22.0
2021,Bayern,DE-BY,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",6995,53.2,55.9
2021,Bayern,DE-BY,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,12033,91.4,98.2
2021,Berlin,DE-BE,,Alle Krankheiten und Folgen äußerer Ursachen,37706,1027.2,1194.5
2021,Berlin,DE-BE,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,554,15.1,17.6
2021,Berlin,DE-BE,C00-D48,C00-D48 Neubildungen,9226,251.3,289.3
2021,Berlin,DE-BE,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,156,4.2,4.9
2021,Berlin,DE-BE,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",1430,39.0,45.7
2021,Berlin,DE-BE,F00-F99,F00-F99 Psychische und Verhaltensstörungen,2010,54.8,64.9
2021,Berlin,DE-BE,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,1241,33.8,39.0
2021,Berlin,DE-BE,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,11448,311.9,367.8
2021,Berlin,DE-BE,J00-J99,J00-J99 Krankheiten des Atmungssystems,2409,65.6,76.3
2021,Berlin,DE-BE,K00-K93,K00-K93 Krankheiten des Verdauungssystems,1601,43.6,50.3
2021,Berlin,DE-BE,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,51,1.4,1.6
2021,Berlin,DE-BE,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,183,5.0,5.7
2021,Berlin,DE-BE,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,938,25.6,30.3
2021,Berlin,DE-BE,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Berlin,DE-BE,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",57,1.6,1.4
2021,Berlin,DE-BE,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",64,1.7,1.8
2021,Berlin,DE-BE,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",1810,49.3,56.2
2021,Berlin,DE-BE,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",1810,49.3,55.6
2021,Berlin,DE-BE,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,2717,74.0,86.0
2021,Brandenburg,DE-BB,,Alle Krankheiten und Folgen äußerer Ursachen,37396,1475.5,1321.7
2021,Brandenburg,DE-BB,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,492,19.4,17.4
2021,Brandenburg,DE-BB,C00-D48,C00-D48 Neubildungen,8587,338.8,300.0
2021,Brandenburg,DE-BB,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,135,5.3,4.8
2021,Brandenburg,DE-BB,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",1254,49.5,44.4
2021,Brandenburg,DE-BB,F00-F99,F00-F99 Psychische und Verhaltensstörungen,1791,70.7,64.0
2021,Brandenburg,DE-BB,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,1241,49.0,43.3
2021,Brandenburg,DE-BB,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,12690,500.7,449.7
2021,Brandenburg,DE-BB,J00-J99,J00-J99 Krankheiten des Atmungssystems,1924,75.9,67.7
2021,Brandenburg,DE-BB,K00-K93,K00-K93 Krankheiten des Verdauungssystems,1673,66.0,59.1
2021,Brandenburg,DE-BB,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,65,2.6,2.3
2021,Brandenburg,DE-BB,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,157,6.2,5.5
2021,Brandenburg,DE-BB,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,885,34.9,31.4
2021,Brandenburg,DE-BB,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Brandenburg,DE-BB,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",34,1.3,1.6
2021,Brandenburg,DE-BB,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",35,1.4,1.4
2021,Brandenburg,DE-BB,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",1251,49.4,44.8
2021,Brandenburg,DE-BB,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",1843,72.7,67.0
2021,Brandenburg,DE-BB,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,3338,131.7,117.3
2021,Bremen,DE-HB,,Alle Krankheiten und Folgen äußerer Ursachen,8180,1206.0,1248.2
2021,Bremen,DE-HB,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,119,17.5,18.2
2021,Bremen,DE-HB,C00-D48,C00-D48 Neubildungen,1923,283.5,296.4
2021,Bremen,DE-HB,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,43,6.3,6.6
2021,Bremen,DE-HB,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",384,56.6,58.5
2021,Bremen,DE-HB,F00-F99,F00-F99 Psychische und Verhaltensstörungen,514,75.8,77.6
2021,Bremen,DE-HB,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,256,37.7,38.9
2021,Bremen,DE-HB,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,2749,405.3,416.8
2021,Bremen,DE-HB,J00-J99,J00-J99 Krankheiten des Atmungssystems,464,68.4,71.3
2021,Bremen,DE-HB,K00-K93,K00-K93 Krankheiten des Verdauungssystems,373,55.0,57.5
2021,Bremen,DE-HB,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,15,2.2,2.3
2021,Bremen,DE-HB,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,69,10.2,10.4
2021,Bremen,DE-HB,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,148,21.8,22.5
2021,Bremen,DE-HB,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Bremen,DE-HB,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",9,1.3,1.2
2021,Bremen,DE-HB,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",17,2.5,2.5
2021,Bremen,DE-HB,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",412,60.7,63.2
2021,Bremen,DE-HB,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",312,46.0,47.4
2021,Bremen,DE-HB,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,373,55.0,57.0
2021,Hamburg,DE-HH,,Alle Krankheiten und Folgen äußerer Ursachen,18845,1016.9,1193.3
2021,Hamburg,DE-HH,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,254,13.7,16.0
2021,Hamburg,DE-HH,C00-D48,C00-D48 Neubildungen,4720,254.7,303.6
2021,Hamburg,DE-HH,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,73,3.9,4.6
2021,Hamburg,DE-HH,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",493,26.6,31.1
2021,Hamburg,DE-HH,F00-F99,F00-F99 Psychische und Verhaltensstörungen,1194,64.4,74.8
2021,Hamburg,DE-HH,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,573,30.9,36.5
2021,Hamburg,DE-HH,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,5086,274.4,320.7
2021,Hamburg,DE-HH,J00-J99,J00-J99 Krankheiten des Atmungssystems,1306,70.5,83.4
2021,Hamburg,DE-HH,K00-K93,K00-K93 Krankheiten des Verdauungssystems,760,41.0,48.1
2021,Hamburg,DE-HH,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,44,2.4,2.8
2021,Hamburg,DE-HH,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,119,6.4,7.6
2021,Hamburg,DE-HH,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,509,27.5,32.4
2021,Hamburg,DE-HH,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Hamburg,DE-HH,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",29,1.6,1.3
2021,Hamburg,DE-HH,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",47,2.5,2.2
2021,Hamburg,DE-HH,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",1291,69.7,82.1
2021,Hamburg,DE-HH,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",1262,68.1,77.5
2021,Hamburg,DE-HH,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,1085,58.5,68.7
2021,Hessen,DE-HE,,Alle Krankheiten und Folgen äußerer Ursachen,72277,1148.3,1208.2
2021,Hessen,DE-HE,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,1039,16.5,17.4
2021,Hessen,DE-HE,C00-D48,C00-D48 Neubildungen,16655,264.6,277.9
2021,Hessen,DE-HE,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,372,5.9,6.2
2021,Hessen,DE-HE,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",2789,44.3,46.7
2021,Hessen,DE-HE,F00-F99,F00-F99 Psychische und Verhaltensstörungen,4227,67.2,70.8
2021,Hessen,DE-HE,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,2535,40.3,42.5
2021,Hessen,DE-HE,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,25118,399.1,420.9
2021,Hessen,DE-HE,J00-J99,J00-J99 Krankheiten des Atmungssystems,4215,67.0,70.6
2021,Hessen,DE-HE,K00-K93,K00-K93 Krankheiten des Verdauungssystems,2931,46.6,48.8
2021,Hessen,DE-HE,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,166,2.6,2.8
2021,Hessen,DE-HE,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,406,6.5,6.8
2021,Hessen,DE-HE,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,1925,30.6,32.4
2021,Hessen,DE-HE,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Hessen,DE-HE,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",107,1.7,1.6
2021,Hessen,DE-HE,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",188,3.0,3.0
2021,Hessen,DE-HE,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",1524,24.2,25.1
2021,Hessen,DE-HE,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",2941,46.7,48.6
2021,Hessen,DE-HE,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,5136,81.6,86.0
2021,Mecklenburg-Vorpommern,DE-MV,,Alle Krankheiten und Folgen äußerer Ursachen,24152,1499.2,1334.2
2021,Mecklenburg-Vorpommern,DE-MV,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,283,17.6,15.6
2021,Mecklenburg-Vorpommern,DE-MV,C00-D48,C00-D48 Neubildungen,6048,375.4,329.6
2021,Mecklenburg-Vorpommern,DE-MV,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,61,3.8,3.4
2021,Mecklenburg-Vorpommern,DE-MV,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",887,55.1,49.0
2021,Mecklenburg-Vorpommern,DE-MV,F00-F99,F00-F99 Psychische und Verhaltensstörungen,1437,89.2,80.1
2021,Mecklenburg-Vorpommern,DE-MV,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,806,50.0,44.6
2021,Mecklenburg-Vorpommern,DE-MV,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,8668,538.1,480.7
2021,Mecklenburg-Vorpommern,DE-MV,J00-J99,J00-J99 Krankheiten des Atmungssystems,1122,69.6,61.3
2021,Mecklenburg-Vorpommern,DE-MV,K00-K93,K00-K93 Krankheiten des Verdauungssystems,1299,80.6,71.7
2021,Mecklenburg-Vorpommern,DE-MV,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,25,1.6,1.4
2021,Mecklenburg-Vorpommern,DE-MV,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,103,6.4,5.7
2021,Mecklenburg-Vorpommern,DE-MV,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,571,35.4,31.7
2021,Mecklenburg-Vorpommern,DE-MV,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Mecklenburg-Vorpommern,DE-MV,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",12,0.7,0.9
2021,Mecklenburg-Vorpommern,DE-MV,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",45,2.8,2.8
2021,Mecklenburg-Vorpommern,DE-MV,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",448,27.8,25.7
2021,Mecklenburg-Vorpommern,DE-MV,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",919,57.0,52.1
2021,Mecklenburg-Vorpommern,DE-MV,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,1418,88.0,78.1
2021,Niedersachsen,DE-NI,,Alle Krankheiten und Folgen äußerer Ursachen,99965,1247.2,1237.3
2021,Niedersachsen,DE-NI,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,1300,16.2,16.1
2021,Niedersachsen,DE-NI,C00-D48,C00-D48 Neubildungen,23704,295.7,293.2
2021,Niedersachsen,DE-NI,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,355,4.4,4.4
2021,Niedersachsen,DE-NI,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",3677,45.9,45.5
2021,Niedersachsen,DE-NI,F00-F99,F00-F99 Psychische und Verhaltensstörungen,7109,88.7,88.1
2021,Niedersachsen,DE-NI,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,3285,41.0,40.6
2021,Niedersachsen,DE-NI,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,35760,446.2,442.6
2021,Niedersachsen,DE-NI,J00-J99,J00-J99 Krankheiten des Atmungssystems,6746,84.2,83.5
2021,Niedersachsen,DE-NI,K00-K93,K00-K93 Krankheiten des Verdauungssystems,4056,50.6,50.3
2021,Niedersachsen,DE-NI,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,156,1.9,1.9
2021,Niedersachsen,DE-NI,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,461,5.8,5.7
2021,Niedersachsen,DE-NI,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,3044,38.0,37.7
2021,Niedersachsen,DE-NI,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Niedersachsen,DE-NI,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",157,2.0,1.9
2021,Niedersachsen,DE-NI,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",185,2.3,2.3
2021,Niedersachsen,DE-NI,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",2993,37.3,37.2
2021,Niedersachsen,DE-NI,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",3023,37.7,37.5
2021,Niedersachsen,DE-NI,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,3950,49.3,48.9
2021,Nordrhein-Westfalen,DE-NW,,Alle Krankheiten und Folgen äußerer Ursachen,220035,1227.5,1253.0
2021,Nordrhein-Westfalen,DE-NW,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,3613,20.2,20.6
2021,Nordrhein-Westfalen,DE-NW,C00-D48,C00-D48 Neubildungen,52748,294.3,301.8
2021,Nordrhein-Westfalen,DE-NW,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,1105,6.2,6.3
2021,Nordrhein-Westfalen,DE-NW,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",7783,43.4,44.3
2021,Nordrhein-Westfalen,DE-NW,F00-F99,F00-F99 Psychische und Verhaltensstörungen,13612,75.9,77.0
2021,Nordrhein-Westfalen,DE-NW,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,8429,47.0,48.1
2021,Nordrhein-Westfalen,DE-NW,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,63328,353.3,359.7
2021,Nordrhein-Westfalen,DE-NW,J00-J99,J00-J99 Krankheiten des Atmungssystems,13013,72.6,74.4
2021,Nordrhein-Westfalen,DE-NW,K00-K93,K00-K93 Krankheiten des Verdauungssystems,8528,47.6,48.6
2021,Nordrhein-Westfalen,DE-NW,L00-L99,L00-L99 Krankheiten der Haut und der Unterhaut,326,1.8,1.9
2021,Nordrhein-Westfalen,DE-NW,M00-M99,M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes,1314,7.3,7.5
2021,Nordrhein-Westfalen,DE-NW,N00-N99,N00-N99 Krankheiten des Urogenitalsystems,5684,31.7,32.3
2021,Nordrhein-Westfalen,DE-NW,O00-O99,"O00-O99 Schwangerschaft, Geburt und Wochenbett",,,
2021,Nordrhein-Westfalen,DE-NW,P00-P96,"P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",300,1.7,1.6
2021,Nordrhein-Westfalen,DE-NW,Q00-Q99,"Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",476,2.7,2.6
2021,Nordrhein-Westfalen,DE-NW,R00-R99,"R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind",19575,109.2,111.4
2021,Nordrhein-Westfalen,DE-NW,S00-T98,"S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",7957,44.4,45.1
2021,Nordrhein-Westfalen,DE-NW,U00-U99,U00-U99 Schlüsselnummern für besondere Zwecke,12235,68.3,69.8
2021,Rheinland-Pfalz,DE-RP,,Alle Krankheiten und Folgen äußerer Ursachen,50569,1232.7,1226.5
2021,Rheinland-Pfalz,DE-RP,A00-B99,A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,814,19.8,19.8
2021,Rheinland-Pfalz,DE-RP,C00-D48,C00-D48 Neubildungen,12116,295.3,293.9
2021,Rheinland-Pfalz,DE-RP,D50-D90,D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,290,7.1,7.0
2021,Rheinland-Pfalz,DE-RP,E00-E90,"E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten",2012,49.0,48.9
2021,Rheinland-Pfalz,DE-RP,F00-F99,F00-F99 Psychische und Verhaltensstörungen,2697,65.7,65.4
2021,Rheinland-Pfalz,DE-RP,G00-H95,G00-H95 Krankheiten des Nervensystems und der Sinnesorgane,1775,43.3,43.3
2021,Rheinland-Pfalz,DE-RP,I00-I99,I00-I99 Krankheiten des Kreislaufsystems,17946,437.4,434.9
2021,Rheinland-Pfalz,DE-RP,J00-J99,J00-J99 Krankheiten des Atmungssystems,3017,73.5,73.3
